Station,CHLA_minYear,CHLA_maxYear,CHLA_mean,CHLA_median,CHLA_min,CHLA_max,CHLA_Nobs,CHLA_nYears,TN_minYear,TN_maxYear,TN_mean,TN_median,TN_min,TN_max,TN_Nobs,TN_nYears,DIN_minYear,DIN_maxYear,DIN_mean,DIN_median,DIN_min,DIN_max,DIN_Nobs,DIN_nYears,TP_minYear,TP_maxYear,TP_mean,TP_median,TP_min,TP_max,TP_Nobs,TP_nYears,TSS_minYear,TSS_maxYear,TSS_mean,TSS_median,TSS_min,TSS_max,TSS_Nobs,TSS_nYears,SECCHI_minYear,SECCHI_maxYear,SECCHI_mean,SECCHI_median,SECCHI_min,SECCHI_max,SECCHI_Nobs,SECCHI_nYears
1ADOU000.60,2004,2015,18.930377358490567,14.58,2.1,86,53,12,2004,2015,1.234,1.23,0.49,2.27,53,12,2007,2007,0.7684,0.758,0.018,1.539,5,1,2004,2015,0.07056603773584906,0.06,0.03,0.16,53,12,2004,2015,15.39622641509434,14,2,32,53,12,2004,2015,0.6204081632653061,0.6,0.2,1.5,49,11
1ANEA000.40,2004,2006,31.74375,28.5,21.77,55.32,8,3,2004,2006,1.19125,1.1099999999999999,0.96,1.59,8,3,NA,NA,NA,NA,NA,NA,0,0,2004,2006,0.09625,0.09,0.05,0.14,8,3,2004,2006,21.5,22,9,32,8,3,2004,2005,0.4,0.4,0.3,0.5,5,2
1ANEA000.57,2006,2015,16.536666666666665,15.254999999999999,2.31,44.23,60,10,2006,2015,1.265516393442623,1.16,0.64,2.58,61,10,2007,2007,0.297,0.373,0.018,0.526,5,1,2006,2015,0.07311475409836066,0.07,0.04,0.13,61,10,2006,2015,23.60655737704918,21,9,70,61,10,2006,2015,0.47547169811320755,0.4,0.2,1.1,53,10
1AOCC002.47,2004,2015,20.00936170212766,13.8,1.78,76.33,47,9,2004,2015,1.0359574468085107,1,0.46,2.06,47,9,NA,NA,NA,NA,NA,NA,0,0,2004,2015,0.069375,0.06,0.03,0.26,48,9,2004,2015,15.520833333333334,13,4,52,48,9,2004,2015,0.6622222222222223,0.6,0.3,1.7,45,9
1APOH000.21,2004,2005,9.99,10.93,1.14,16.96,4,2,2004,2005,1.5699999999999998,1.585,1.45,1.66,4,2,NA,NA,NA,NA,NA,NA,0,0,2004,2005,0.0675,0.055,0.05,0.11,4,2,2004,2005,21.5,15.5,9,46,4,2,2004,2004,0.5333333333333333,0.6,0.3,0.7,3,1
1APOH000.93,2007,2015,16.4175,14.75,4.31,32.3,16,7,2007,2015,1.16771875,1.1179999999999999,0.58,1.8875,16,7,2007,2007,0.895,0.895,0.245,1.545,2,1,2007,2015,0.063125,0.06,0.03,0.09,16,7,2007,2012,17.625,17,11,25,8,4,2007,2015,0.55,0.5,0.3,0.8,16,7
1APOH002.10,2008,2008,12.44,12.44,12.44,12.44,1,1,2008,2008,2.513,2.513,2.513,2.513,1,1,2008,2008,1.632,1.632,1.632,1.632,1,1,2008,2008,0.06,0.06,0.06,0.06,1,1,2008,2008,22,22,22,22,1,1,2007,2009,0.5925925925925926,0.5,0.3,1.1,27,3
1APOH002.32,2004,2015,13.350178571428572,12,1.14,48.6,56,12,2004,2015,1.7294285714285715,1.685,0.47,3.58,56,12,2007,2007,1.4442,1.438,1.295,1.54,5,1,2004,2015,0.05392857142857143,0.05,0.02,0.11,56,12,2004,2015,9.446428571428571,6,1,33,56,12,2004,2015,0.8846153846153846,0.8500000000000001,0.3,1.6,52,12
1AQUA000.43,2007,2015,12.481351351351352,7.72,0.71,36.6,37,9,2007,2015,0.9716891891891892,0.912,0.537,1.65,37,9,2007,2007,0.3765,0.375,0.23,0.526,4,1,2007,2015,0.06918918918918919,0.06,0.04,0.13,37,9,2007,2015,16.64864864864865,16,5,36,37,9,2007,2015,0.595945945945946,0.5,0.3,1.3,37,9
LE2.2,2000,2023,14.152353535353535,10.620000000000001,3.55,252.1905,198,24,2000,2023,0.7804070351758794,0.7235,0.474,2.8995,199,24,2000,2023,0.10660669191919192,0.0432,0.0039,0.712,198,24,2000,2023,0.04017604690117253,0.0382,0.017333333333333333,0.15084999999999998,199,24,2000,2023,6.072361809045226,4.75,2.4,32.5,199,24,2000,2023,1.2756345177664974,1.2,0.1,2.8,197,24
LE3.1,2000,2023,14.110510948905109,12.76,0.5,42.4,137,24,2000,2023,0.5842008333333333,0.5685,0.243,1.2715,100,24,2000,2023,0.02825903846153846,0.01175,0.00375,0.199,130,24,2000,2023,0.056786407766990295,0.0518,0.021150000000000002,0.1262,103,23,2000,2023,13.148148148148149,11,3,42,135,24,2000,2023,0.856390977443609,0.8,0.3,2,133,24
LE3.2,2000,2023,11.229477611940299,9.485,2.65,58.1,134,24,2000,2023,0.525510989010989,0.485,0.232,1.2029999999999998,91,22,2000,2023,0.025597348484848483,0.0095,0.00375,0.598,132,24,2000,2023,0.04391521739130435,0.04075,0.0186,0.1434,92,21,2000,2023,7.866666666666666,6,2,33,135,24,2000,2023,1.262406015037594,1.2,0.6,2.6,133,24
LE3.4,2000,2023,11.061240875912409,8.78,0.39,49,137,24,2000,2023,0.5478979400749063,0.495,0.306,1.2686666666666666,89,20,2000,2023,0.03599269230769231,0.019,0.006,0.71,130,24,2000,2023,0.043310795454545456,0.03795,0.01765,0.143,88,22,2000,2023,6.771629629629629,5,1.17,31,135,24,2000,2023,1.4325757575757576,1.4,0.7,2.5,132,24
LE4.1,2000,2023,13.603435114503817,12.4,3.7,44.7,131,24,2000,2023,0.666551282051282,0.62,0.427,1.3215,117,24,2000,2023,0.09833790322580645,0.081,0.006,0.374,124,24,2000,2023,0.09041967213114754,0.08374999999999999,0.0394,0.2368,122,24,2000,2023,28.906976744186046,25,8,100,129,24,2000,2023,0.5596899224806201,0.5,0.2,1.3,129,24
LE4.2,2000,2023,10.421615384615384,9.765,1.82,33.7,130,24,2000,2023,0.565696261682243,0.532,0.356,1.1785,107,24,2000,2023,0.09578991935483872,0.080125,0.00375,0.313,124,24,2000,2023,0.07283070175438597,0.06895,0.03,0.2499,114,24,2000,2023,17.294573643410853,15,3,59,129,24,2000,2023,0.8192307692307692,0.8,0.4,1.7,130,24
LE4.3,2000,2023,10.183671875,8.96,2.12,101,128,24,2000,2023,0.5334741100323624,0.486,0.347,1.426,103,24,2000,2023,0.07161475409836066,0.044,0.005,0.243,122,24,2000,2023,0.05831875,0.0523,0.0295,0.3317,112,24,2000,2023,10.559055118110237,8,3,56,127,24,2000,2023,1.241732283464567,1.2,0.7,2.9,127,24
LE5.1,2000,2023,7.7275757575757575,6.51,1.6,53,132,24,2000,2023,0.5633695652173913,0.5285,0.3225,1.1524999999999999,92,24,2000,2023,0.14544730769230768,0.1085,0.005,0.563,130,24,2000,2023,0.07041153846153846,0.06815,0.0431,0.1754,130,24,2000,2023,21.515151515151516,21,3,59,132,24,2000,2023,0.5925373134328358,0.6,0.2,1.4,134,24
LE5.2,2000,2023,5.50421052631579,3.92,1.25,67.7,133,24,2000,2023,0.5655568181818181,0.5117499999999999,0.2235,1.668,88,23,2000,2023,0.15252067669172933,0.126,0.006,0.474,133,24,2000,2023,0.06448484848484848,0.05985,0.0356,0.248,132,24,2000,2023,11.993759398496241,10,1.17,59,133,24,2000,2023,1.0102941176470588,0.95,0.3,2.6,136,24
LE5.3,2000,2023,7.84762962962963,5.96,1.6,88.9,135,24,2000,2023,0.5318333333333334,0.473,0.3295,1.567,93,23,2000,2023,0.10762,0.078,0.00375,0.396,135,24,2000,2023,0.06572086614173228,0.0586,0.0281,0.2918,127,24,2000,2023,17.30597014925373,15,2,102,134,24,2000,2023,0.8978102189781022,0.8,0.5,1.9,137,24
LE5.4,2000,2023,7.621376811594203,6.8100000000000005,1.46,54.06,138,24,2000,2023,0.5023947368421052,0.449,0.263,1.425,95,23,2000,2023,0.09149444444444445,0.058,0.00375,0.368,135,24,2000,2023,0.05751788617886179,0.053900000000000003,0.0217,0.2512,123,24,2000,2023,11.317426470588236,9,1.17,54,136,24,2000,2023,1.1482014388489208,1.1,0.6,2.2,139,24
PMS01,2000,2022,11.451881612903225,2.6,0.07,560.29999,93,16,NA,NA,NA,NA,NA,NA,0,0,2000,2004,0.7627222222222222,0.7785,0.118,1.585,18,4,NA,NA,NA,NA,NA,NA,0,0,2000,2022,25.680851063829788,8.5,2,522,94,21,2000,2022,1.2692913385826772,1.2,0.1,3.1,127,22
PMS10,2000,2022,5.309071504424779,2.3,0,90.1,226,17,NA,NA,NA,NA,NA,NA,0,0,2000,2004,0.8124305555555555,0.823,0.147,1.682,36,4,NA,NA,NA,NA,NA,NA,0,0,2000,2022,13.908290155440415,6,0.3,266,193,21,2000,2022,1.0707236842105263,1,0.1,2.7,304,23
PMS21,2000,2022,5.8767492444444445,3.4,0,46.5,225,16,NA,NA,NA,NA,NA,NA,0,0,2000,2004,0.8434305555555556,0.863,0.234,1.663,36,4,NA,NA,NA,NA,NA,NA,0,0,2000,2022,12.640211640211641,8,1,166,189,21,2000,2022,0.8824104234527688,0.9,0.1,2.3,307,23
PMS29,2000,2022,7.066852857142857,4.08,0.2,53,224,17,NA,NA,NA,NA,NA,NA,0,0,2000,2004,1.073525641025641,1.062,0.47,2.051,39,4,NA,NA,NA,NA,NA,NA,0,0,2000,2022,14.615384615384615,10,2,168,195,21,2000,2022,0.78371335504886,0.8,0.1,2,307,23
PMS37,2000,2022,6.853675106382979,4.208485,0,31,94,16,NA,NA,NA,NA,NA,NA,0,0,2000,2004,1.3177142857142856,1.294,0.794,2.3,21,4,NA,NA,NA,NA,NA,NA,0,0,2000,2022,14.535353535353535,12,3,104,99,21,2000,2022,0.7700787401574803,0.7,0.1,1.8,127,22
PMS39,2009,2010,8.4,8.3,0.1,25.7,9,2,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,2001,2010,0.7214285714285714,0.7,0.3,1.1,14,5
PMS44,2000,2022,7.784109120879121,5.3,0.16,59,91,16,NA,NA,NA,NA,NA,NA,0,0,2000,2004,1.443,1.302,0.78,3.59,21,4,NA,NA,NA,NA,NA,NA,0,0,2000,2022,13.577319587628866,11,3,72,97,21,2000,2022,0.691869918699187,0.7,0.2,1.6,123,22
PMS51,2000,2022,9.097786829268292,7.013525,0.4,44.3,82,16,NA,NA,NA,NA,NA,NA,0,0,2000,2004,1.3908,1.3495,0.726,2.01,20,4,NA,NA,NA,NA,NA,NA,0,0,2000,2022,14.977272727272727,12,1,82,88,21,2000,2022,0.6491228070175439,0.6,0.2,1.4,114,22
RET2.4,2000,2023,12.057888324873096,9.93,1.79,56.668499999999995,197,24,2000,2023,0.9260489898989899,0.842,0.502,1.9204999999999999,198,24,2000,2023,0.31141931818181817,0.214175,0.011300000000000001,1.21,198,24,2000,2023,0.06845,0.06637499999999999,0.03795,0.1073,198,24,2000,2023,11.583080808080808,10.75,2.5,49.65,198,24,2000,2023,0.717258883248731,0.7,0.2,1.7,197,24
RET3.1,2000,2023,17.766962962962964,17.25,7.76,43.9,135,24,2000,2023,0.7486878531073446,0.6890000000000001,0.498,1.4344999999999999,118,24,2000,2023,0.043397388059701496,0.009999999999999998,0.00375,0.483,134,24,2000,2023,0.08691217391304348,0.0824,0.04,0.22,115,24,2000,2023,35.605839416058394,30,10,116,137,24,2000,2023,0.3522727272727273,0.3,0.1,0.7,132,24
RET3.2,2000,2023,14.717573529411764,13.855,4.59,49.6,136,24,2000,2023,0.6503597359735973,0.596,0.351,1.99,101,22,2000,2023,0.03344847328244275,0.015,0.00375,0.384,131,24,2000,2023,0.06730142857142857,0.0653,0.0145,0.244,105,24,2000,2023,19.637037037037036,17,3,93,135,24,2000,2023,0.6075757575757575,0.6,0.2,5,132,24
RET4.1,2000,2023,11.458461538461538,10.25,0.5,39.6,130,24,2000,2023,0.7491559633027522,0.71,0.4125,1.6475,109,24,2000,2023,0.16239349593495936,0.157,0.006,0.452,123,24,2000,2023,0.10721889763779527,0.0967,0.0577,0.492,127,24,2000,2023,40.945736434108525,30,7,271,129,24,2000,2023,0.42868217054263563,0.4,0.1,0.7,129,24
RET4.2,2000,2023,9.517112676056339,8.58,0.5,30.53,142,24,2000,2023,0.7502102272727272,0.7055,0.38,1.387,88,22,2000,2023,0.14614136690647483,0.142,0.006,0.342,139,24,2000,2023,0.0991231884057971,0.0907,0.036,0.2992,138,24,2000,2023,39.063380281690144,29,4,208,142,24,2000,2023,0.4308823529411765,0.4,0.2,0.8,136,24
RET4.3,2000,2023,15.023587786259542,12.91,0.5,49.45,131,24,2000,2023,0.7152100840336134,0.683,0.46,1.486,119,24,2000,2023,0.12599282945736434,0.107,0.00375,0.374,129,24,2000,2023,0.09766535433070866,0.0919,0.0553,0.2,127,24,2000,2023,29.76923076923077,25,6,124,130,24,2000,2023,0.5018939393939393,0.5,0.2,1.1,132,24
RET5.1A,2000,2023,15.61978102189781,15.5,0.5,37.4,137,24,2000,2023,0.6422790697674419,0.636,0.405,0.9005,86,22,2000,2023,0.05735037313432836,0.0295,0.00375,0.315,134,24,2000,2023,0.07480260869565217,0.0734,0.045,0.183,115,23,2000,2023,23.05109489051095,20,6,66,137,24,2000,2023,0.5,0.5,0.1,0.8,134,24
RET5.2,2000,2023,10.254253731343283,8.435,2.6,34.1,134,24,2000,2023,0.5868084112149533,0.566,0.294,1.048,107,24,2000,2023,0.14959153846153847,0.1145,0.006,0.557,130,24,2000,2023,0.07830866141732283,0.0754,0.0313,0.1952,127,24,2000,2023,27.263157894736842,25,9,82,133,24,2000,2023,0.4934306569343066,0.5,0.2,2.1,137,24
TF2.1,2000,2023,12.572575757575757,8.635,0.3,79.39,198,24,2000,2023,1.6535862244897959,1.6635,0.858,2.8071,196,24,2000,2023,1.1235678217821783,1.1305,0.1227,2.31,202,24,2000,2023,0.0620741116751269,0.0579,0.0309,0.2051,197,24,2000,2023,14.47871287128713,11,3,165,202,24,2000,2023,0.6594059405940594,0.6,0.1,1.3,202,24
TF2.2,2000,2023,13.660452261306533,10.84,0.5,71.56,199,24,2000,2023,1.5617030303030304,1.5324499999999999,0.664,2.582,198,24,2000,2023,1.0226574626865672,1.065,0.0285,2.149,201,24,2000,2023,0.06387537688442212,0.0592,0.0305,0.27,199,24,2000,2023,15.5815,12.9,4,121.5,200,24,2000,2023,0.6202970297029703,0.6,0.1,1.3,202,24
TF2.3,2000,2023,15.613665,11.135000000000002,0.75,80.46,200,24,2000,2023,1.4354605,1.4344999999999999,0.643,2.3824,200,24,2000,2023,0.8656106435643565,0.874,0.0207,2.069,202,24,2000,2023,0.062894,0.05945,0.0302,0.1823,200,24,2000,2023,15.106765841584158,13.2,4,128,202,24,2000,2023,0.598019801980198,0.6,0.1,1,202,24
TF2.4,2000,2023,13.146477611940298,9.88,1,48.59,201,24,2000,2023,1.2964094527363184,1.246,0.664,2.1971,201,24,2000,2023,0.7235854679802955,0.652,0.0223,1.79,203,24,2000,2023,0.0656,0.0634,0.031,0.1437,201,24,2000,2023,13.77405566502463,12.8,4,43,203,24,2000,2023,0.5960591133004927,0.6,0.2,1.1,203,24
TF3.1B,2000,2023,14.712757352941177,13.649999999999999,0.5,47.78,136,24,2000,2023,0.8084822695035461,0.765,0.395,1.5495,94,23,2000,2023,0.42545864661654137,0.446,0.006,1.312,133,24,2000,2023,0.06056818181818182,0.06,0.02955,0.12,110,24,2000,2023,16.49618320610687,15,5,49,131,23,2000,2023,0.6423357664233577,0.6,0.3,1.3,137,24
TF3.1E,2000,2023,13.527900763358778,9.86,0.5,60.9,131,24,2000,2023,0.8710176470588236,0.867,0.41500000000000004,1.627,85,19,2000,2023,0.46427286821705427,0.476,0.008,1.09,129,24,2000,2023,0.056680530973451326,0.0552,0.02025,0.1482,113,24,2000,2023,12.2890625,12,5,50,128,23,2000,2023,0.7318840579710145,0.7,0.2,1.4,138,24
TF3.1F,2008,2023,6.850116279069767,2.25,0.36,132,86,16,2008,2023,0.7143023255813954,0.68,0.27,1.38,86,16,NA,NA,NA,NA,NA,NA,0,0,2008,2023,0.04965116279069767,0.04,0.02,0.1,86,16,2008,2023,9.604651162790697,7,2,59,86,16,2008,2023,1.082142857142857,1,0.3,2.6,84,16
TF3.2,2000,2023,22.194179104477612,21.240000000000002,0.5,59.4,134,24,2000,2023,0.7754722222222222,0.7404999999999999,0.466,1.3,108,24,2000,2023,0.29110846153846154,0.285,0.00375,1.114,130,24,2000,2023,0.075886,0.07505,0.0272,0.15,100,23,2000,2023,24.30075187969925,22,6,61,133,24,2000,2023,0.4742753623188406,0.4,0.2,1.2,138,24
TF3.2A,2000,2023,26.449516129032258,25.09,1.03,67.5,124,24,2000,2023,0.732014619883041,0.736,0.354,1.284,114,24,2000,2023,0.13197930327868854,0.014499999999999999,0.00375,0.74,122,24,2000,2023,0.08160824175824176,0.0798,0.0223,0.149,91,23,2000,2023,28.658536585365855,26,8,96,123,24,2000,2023,0.41475409836065574,0.4,0.1,1.5,122,24
TF3.3,2000,2023,19.838592592592594,17.8,4.31,65.79,135,24,2000,2023,0.6964724919093851,0.649,0.43,1.298,103,24,2000,2023,0.08909309701492538,0.009999999999999998,0.00375,0.686,134,24,2000,2023,0.0751876213592233,0.0717,0.04,0.1468,103,23,2000,2023,23.941176470588236,21.5,9,74,136,24,2000,2023,0.4171641791044776,0.4,0.1,0.8,134,24
TF4.2,2000,2023,6.809219858156029,4.72,0.5,50.8,141,24,2000,2023,0.6352555555555556,0.6094999999999999,0.33799999999999997,1.5155,90,22,2000,2023,0.19053685185185185,0.15,0.006,0.626,135,24,2000,2023,0.07047769230769231,0.06559999999999999,0.0294,0.26,130,24,2000,2023,18.72340425531915,17,3,52,141,24,2000,2023,0.6410071942446043,0.6,0.3,4.2,139,24
TF4.4,2000,2023,4.505070422535211,3.7199999999999998,0.28,17.4,142,24,2000,2023,0.5921674757281553,0.594,0.3145,1.043,103,24,2000,2023,0.1713195652173913,0.1655,0.007,0.457,138,24,2000,2023,0.06889603174603175,0.06939999999999999,0.0196,0.133,126,24,2000,2023,9.872340425531915,7,2,45,141,24,2000,2023,0.8551470588235294,0.8,0.4,2.1,136,24
TF5.2,2000,2023,2.065639097744361,1.17,0.3,26.5,133,24,2000,2023,0.4475699152542373,0.352,0.1965,1.584,118,24,2000,2023,0.15103953488372093,0.087,0.006,0.58,129,24,2000,2023,0.063325,0.04265,0.0142,0.439,88,19,2000,2023,20.10781954887218,5,1,257,133,24,NA,NA,NA,NA,NA,NA,0,0
TF5.2A,2000,2023,4.819692307692308,2.4,0.43,58.58,130,24,2000,2023,0.7076545454545454,0.65225,0.2345,3.0404999999999998,110,24,2000,2023,0.36722916666666666,0.3155,0.00375,2.299,132,24,2000,2023,0.067901,0.058899999999999994,0.022,0.2649,100,24,2000,2023,11.06766917293233,6,2,84,133,24,2000,2023,1.036220472440945,1,0.1,2.3,127,24
TF5.3,2000,2023,8.755530303030303,5.88,0.5,58.65,132,24,2000,2023,0.7736171875,0.7015,0.311,2.027,96,24,2000,2023,0.3787067669172932,0.343,0.033,1.4089999999999998,133,24,2000,2023,0.06980294117647058,0.0639,0.0304,0.1987,102,23,2000,2023,14.863636363636363,8,4,372,132,24,2000,2023,0.8232558139534883,0.9,0.1,1.6,129,24
TF5.4,2000,2023,30.90674074074074,33.8,0.5,73.43,135,24,2000,2023,0.8636651785714285,0.8154999999999999,0.42325,1.75,112,24,2000,2023,0.18320746268656715,0.1595,0.00375,0.844,134,24,2000,2023,0.08848659793814433,0.0826,0.0458,0.1728,97,22,2000,2023,25.776119402985074,24,7,81,134,24,2000,2023,0.4368421052631579,0.4,0.2,0.8,133,24
TF5.5,2000,2023,34.221119402985074,36.480000000000004,0.5,83.39,134,24,2000,2023,0.9082629310344827,0.879,0.535,1.541,116,24,2000,2023,0.2167448148148148,0.184,0.00375,0.769,135,24,2000,2023,0.0927378947368421,0.0842,0.0425,0.3612,95,20,2000,2023,26.139705882352942,24,10,110,136,24,2000,2023,0.4420289855072464,0.4,0.2,0.8,138,24
TF5.5A,2000,2023,29.874436090225565,29.9,0.5,80.4,133,24,2000,2023,0.8257763157894736,0.7949999999999999,0.54,1.392,114,24,2000,2023,0.177869776119403,0.1036,0.00375,0.762,134,24,2000,2023,0.0878125,0.0822,0.0398,0.199,96,23,2000,2023,24.308823529411764,22,10,61,136,24,2000,2023,0.44586466165413535,0.5,0.2,0.9,133,24
TF5.6,2000,2023,14.014485294117646,10.74,0.5,47.9,136,24,2000,2023,0.7060511363636364,0.6637500000000001,0.29575,1.199,88,22,2000,2023,0.23376060606060606,0.199,0.00375,0.724,132,24,2000,2023,0.06675666666666667,0.0615,0.0376,0.253,120,24,2000,2023,18.264705882352942,16,9,99,136,24,2000,2023,0.5402985074626866,0.5,0.2,1,134,24
